,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
0,Jakarta Barat,KEC.KEMBANGAN,KEMBANGAN SELATAN,RW. 09,1.0,2.0,0.0,0.0,15 cm,tgl.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Jakarta Selatan,KEC.KEBAYORAN LAMA,CIPULIR,RW. 10,1.0,1.0,0.0,0.0,20 s/d 50 cm,tgl.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Jakarta Selatan,KEC.KEBAYORAN LAMA,PONDOK PINANG,"RW 05, 08",2.0,3.0,0.0,0.0,10 s/d 40 cm,tgl.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Jakarta Selatan,KEC.CILANDAK,PONDOK LABU,"RW. 01, 03, 07, 10",4.0,8.0,0.0,0.0,10 s/d 80 cm,tgl.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Jakarta Selatan,KEC.KEBAYORAN BARU,PETOGOGAN,"RW. 02, 03",2.0,22.0,0.0,0.0,10 s/d 20 cm,tgl.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Jakarta Timur,KEC. CIRACAS,RAMBUTAN,"RW. 03, 04, 06",3.0,6.0,0.0,0.0,20 s/d 30 cm,tgl.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Jakarta Barat,CENGKARENG,RAWA BUAYA,"RW 01, 02, 04",3.0,0.0,0.0,0.0,20 - 25 cm,"11 - 12
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,RW 02,1.0,0.0,0.0,0.0,30 - 60 cm,"11 - 12
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,RW 01,1.0,0.0,15.0,96.0,20 - 70 cm,"27
(1 Hari)",0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
9,Jakarta Selatan,CILANDAK,CIPETE SELATAN,"RW 01, 03, 07",3.0,0.0,0.0,0.0,70 - 80 cm,"11 - 12
(2 Hari)",0.0,0.0,0.0,0.0,475.0,0.0,0.0,0.0
10,Jakarta Selatan,CILANDAK,PONDOK LABU,"RW 01, 03, 07, 010",4.0,0.0,0.0,0.0,80 - 100 cm,"3 - 5, 11 - 12
(5 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
